year,democracy,countrycode,civilsocietytraditions,rol,gdp,broadband,life_expectancy,ln_gdp,civilsocietytraditions_mean,civilsocietytraditions_c,changeindemocracy
2008,0,3,6,-.74146879,4923.8433,485000,74.310997,8.5018444,5.2954545,.7045455,0
2018,0,3,5,-.77523547,4153.7339,3067022,76.693001,8.3317633,5.2954545,-.2954545,0
2008,1,7,4,-.67660809,9020.873,3114741,74.952003,9.107296,5.2954545,-1.2954545,0
2018,1,7,4,-.24286661,11633.498,8473655,76.519997,9.3616438,5.2954545,-1.2954545,0
2008,1,8,4,-.34052661,4010.8572,13799,72.945999,8.2967606,5.2954545,-1.2954545,0
2018,1,8,5,-.15022101,4220.4902,347448,74.945,8.3477068,5.2954545,-.2954545,0
2008,0,12,7,-.83245188,5574.604,60000,70.200996,8.6259766,5.2954545,1.7045455,0
2018,0,12,8,-.60021931,4739.8418,1890913,72.863998,8.4637594,5.2954545,2.7045455,0
2008,0,17,7,-1.062698,6377.3696,477980,70.4561,8.7605114,5.2954545,1.7045455,0
2018,0,17,7,-.83286762,6330.0752,3201519,74.175613,8.753067,5.2954545,1.7045455,0
2008,1,20,4,-.53391081,1120.8883,8424,58.653999,7.0218768,5.2954545,-1.2954545,0
2018,1,20,3,-.67513978,1240.8295,27034,61.470001,7.1235352,5.2954545,-2.2954545,0
2008,0,30,5,-.34488139,643.4046,10266,55.618,6.466774,5.2954545,-.2954545,0
2018,0,30,4,-.4456363,813.09686,13818,61.174,6.70085,5.2954545,-1.2954545,0
2008,0,33,7,-1.099858,1371.7467,860,54.153,7.2238402,5.2954545,1.7045455,0
2018,0,33,7,-1.079458,1534.4937,395813,58.921001,7.3359556,5.2954545,1.7045455,0
2008,1,39,3,1.313308,10751.479,1427178,78.330002,9.2827988,5.2954545,-2.2954545,0
2018,1,39,3,1.089803,15924.794,3250678,80.042,9.6756325,5.2954545,-2.2954545,0
2008,0,40,9,-.41979739,3468.3047,82879000,73.834999,8.1514215,5.2954545,3.7045455,0
2018,0,40,9,-.20174751,9976.6768,407382000,76.704002,9.208005,5.2954545,3.7045455,0
2008,1,41,5,-.3967666,5472.5366,1772088,74.961998,8.6074972,5.2954545,-.2954545,0
2018,1,41,5,-.40633491,6716.9116,6678543,77.109001,8.8123837,5.2954545,-.2954545,0
2008,1,46,2,.46033499,6859.0791,109939,78.490997,8.8333282,5.2954545,-3.2954545,0
2018,1,46,2,.48045829,12112.135,834784,80.095001,9.4019632,5.2954545,-3.2954545,0
2008,1,48,4,.086383604,16296.806,527989,75.912193,9.6987247,5.2954545,-1.2954545,0
2018,1,48,4,.32438761,15014.085,1128273,78.070732,9.616744,5.2954545,-1.2954545,0
2008,0,49,8,-.82490939,5411.2715,2246,78.150002,8.5962391,5.2954545,2.7045455,0
2018,0,49,7,-.44441819,8821.8193,98838,78.725998,9.0849838,5.2954545,1.7045455,0
2008,1,52,2,.91449398,22804.578,1759586,76.975609,10.034717,5.2954545,-3.2954545,0
2018,1,52,1,1.048951,23415.844,3222835,79.029266,10.061168,5.2954545,-4.2954545,0
2008,1,56,5,-.66028929,5087.9854,239118,71.558998,8.5346375,5.2954545,-.2954545,0
2018,1,56,5,-.37921089,8050.6304,878031,73.891998,8.9935055,5.2954545,-.2954545,0
2008,1,57,6,-1.1674809,4249.019,155998,74.705002,8.3544436,5.2954545,.7045455,0
2018,1,57,6,-.63887519,6295.9355,1953607,76.800003,8.7476597,5.2954545,.7045455,0
2008,1,59,5,-.66765171,2933.3958,123469,70.755997,7.9839158,5.2954545,-.2954545,0
2018,1,59,5,-.82803112,4067.6594,492265,73.096001,8.3108234,5.2954545,-.2954545,0
2008,1,62,3,1.199121,18227.119,294660,73.770729,9.8106661,5.2954545,-2.2954545,0
2018,1,62,2,1.239835,23170.707,441173,78.243904,10.050644,5.2954545,-3.2954545,0
2008,1,69,7,-.26730919,3324.7358,112131,70.945999,8.1091452,5.2954545,1.7045455,0
2018,1,69,6,.32764849,4722.7876,862141,73.599998,8.4601545,5.2954545,.7045455,0
2008,1,71,5,-.068018399,1217.0648,22980,60.216,7.1041975,5.2954545,-.2954545,0
2018,1,71,4,.071562096,2202.3123,61268,63.779999,7.6972632,5.2954545,-1.2954545,0
2008,1,83,2,.92606169,15753.474,1770574,73.702438,9.6648159,5.2954545,-3.2954545,0
2018,1,83,2,.55489463,16410.188,3079549,76.065857,9.705658,5.2954545,-3.2954545,0
2008,1,85,5,.086038902,998.52234,5280000,65.793999,6.9062767,5.2954545,-.2954545,0
2018,1,85,5,.025946099,2005.863,18170000,69.416,7.6038299,5.2954545,-.2954545,0
2008,1,86,6,-.65387058,2166.8542,981562,68.485001,7.6810317,5.2954545,.7045455,0
2018,1,86,6,-.31503859,3893.8464,8874116,71.509003,8.2671528,5.2954545,.7045455,0
2008,0,88,9,-1.768708,4636.6108,54,68.190002,8.4417391,5.2954545,3.7045455,0
2018,0,88,9,-1.758796,5834.166,4492328,70.454002,8.6714869,5.2954545,3.7045455,0
2008,0,95,7,-.82409841,8513.5645,337300,67.02195,9.0494156,5.2954545,1.7045455,0
2018,0,95,7,-.43167919,9812.6016,2461300,73.150002,9.1914225,5.2954545,1.7045455,0
2008,1,96,3,-.99383581,902.07001,3282,58.759998,6.8046923,5.2954545,-2.2954545,-1
2018,0,96,4,-.41113329,1707.9868,371498,66.342003,7.4430709,5.2954545,-1.2954545,-1
2008,1,103,4,.8092072,16422.111,412108,72.41951,9.7063837,5.2954545,-1.2954545,0
2018,1,103,4,.95631588,17858.279,525995,74.782928,9.7902222,5.2954545,-1.2954545,0
2008,1,106,7,-1.091133,478.39993,110,58.229,6.1704469,5.2954545,1.7045455,0
2018,1,106,7,-.98888719,677.3222,9000,63.73,6.518147,5.2954545,1.7045455,0
2008,1,109,4,.72248292,14944.997,590103,71.812195,9.6121321,5.2954545,-1.2954545,0
2018,1,109,3,.95669037,19176.176,788743,75.680489,9.8614235,5.2954545,-2.2954545,0
2008,1,113,6,-.44967559,536.35144,3488,62.508999,6.2847896,5.2954545,.7045455,-1
2018,0,113,7,-.81388128,527.50134,27211,66.681,6.2681513,5.2954545,1.7045455,-1
2008,1,114,5,-.1104348,387.60599,986,52.206001,5.9599895,5.2954545,-.2954545,0
2018,1,114,7,-.3803955,381.259,11358,63.798,5.9434791,5.2954545,1.7045455,0
2008,1,117,4,-.3209292,694.27765,5272,54.193001,6.542872,5.2954545,-1.2954545,0
2018,1,117,4,-.79766512,894.80219,120934,58.893002,6.7966027,5.2954545,-1.2954545,0
2008,1,120,8,-1.141112,1558.8898,5876,62.014999,7.3517294,5.2954545,2.7045455,-1
2018,0,120,8,-.68590969,1600.8765,13222,64.704002,7.3783064,5.2954545,2.7045455,-1
2008,1,121,4,.99626148,8030.063,52511,72.570732,8.9909477,5.2954545,-1.2954545,0
2018,1,121,4,.77906781,11208.344,274700,74.416344,9.3244133,5.2954545,-1.2954545,0
2008,1,122,4,-.6678741,10016.571,7532633,75.194,9.2119961,5.2954545,-1.2954545,0
2018,1,122,6,-.63788879,9686.5137,18359028,74.991997,9.1784897,5.2954545,.7045455,0
2008,1,124,7,-.42538139,2111.2014,115227,68.670998,7.6550126,5.2954545,1.7045455,0
2018,1,124,6,-.4136537,4233.7437,623135,71.807999,8.3508415,5.2954545,.7045455,0
2008,1,126,8,-.34589961,2136.5632,32504,66.446999,7.666954,5.2954545,2.7045455,0
2018,1,126,6,-.26663849,4134.9873,306150,69.689003,8.32724,5.2954545,.7045455,0
2008,0,127,5,-.075675704,7367.752,39749,74.43,8.9048681,5.2954545,-.2954545,0
2018,0,127,4,.098440699,8846.0566,159029,76.769997,9.0877266,5.2954545,-1.2954545,0
2008,0,129,7,-.60693902,563.64966,11135,51.292,6.3344331,5.2954545,1.7045455,0
2018,0,129,7,-1.0434999,503.31873,70142,60.162998,6.2212238,5.2954545,1.7045455,0
2008,0,131,5,.34841889,4158.0293,320,53.817001,8.3327961,5.2954545,-.2954545,0
2018,0,131,4,.2446169,5495.4287,61968,63.373001,8.6116714,5.2954545,-1.2954545,0
2008,1,136,6,-.80492771,1499.2587,43212,71.915001,7.312726,5.2954545,.7045455,-1
2018,0,136,4,-1.059304,2020.5519,192413,74.275002,7.6111259,5.2954545,-1.2954545,-1
2008,1,137,7,-.66820031,478.50272,617,55.764,6.1706619,5.2954545,1.7045455,0
2018,1,137,7,-.58023858,572.42712,8650,62.023998,6.3498855,5.2954545,1.7045455,0
2008,1,138,7,-1.038765,2242.8718,67776,49.912998,7.7155123,5.2954545,1.7045455,0
2018,1,138,7,-.8808043,2027.778,73965,54.332001,7.614696,5.2954545,1.7045455,0
2008,1,142,7,-.96867102,990.84662,168082,64.684998,6.8985596,5.2954545,1.7045455,0
2018,1,142,6,-.67299223,1482.3057,1811365,67.113998,7.3013539,5.2954545,.7045455,0
2008,1,144,5,-.1745903,7154.2744,196190,76.414001,8.8754654,5.2954545,-.2954545,0
2018,1,144,5,-.0924071,15592.573,540220,78.329002,9.6545496,5.2954545,-.2954545,0
2008,1,146,6,-.92802101,4041.584,12800,72.250999,8.3043919,5.2954545,.7045455,0
2018,1,146,6,-.52365398,5805.6758,320700,74.130997,8.6665916,5.2954545,.7045455,0
2008,1,147,6,-.70441312,4220.6172,725563,73.825996,8.3477364,5.2954545,.7045455,0
2018,1,147,6,-.52984738,6941.2358,2536077,76.515999,8.8452349,5.2954545,.7045455,0
2008,1,148,4,-.54565042,1991.2316,1045716,69.514999,7.5965085,5.2954545,-1.2954545,0
2018,1,148,4,-.4777236,3252.0923,3788489,71.095001,8.0870543,5.2954545,-1.2954545,0
2008,1,149,2,.54650313,13996.025,4462686,75.5439,9.5465288,5.2954545,-3.2954545,0
2018,1,149,1,.42744911,15468.482,7851422,77.60244,9.6465597,5.2954545,-4.2954545,0
2008,0,155,8,-.47728691,543.76508,1120,60.612,6.2985172,5.2954545,2.7045455,0
2018,0,155,9,.1178017,783.28717,7501,68.699997,6.6634994,5.2954545,3.7045455,0
2008,1,159,5,-.28035969,1411.9293,47358,62.880001,7.2527122,5.2954545,-.2954545,0
2018,1,159,5,-.2082493,1465.5911,129820,67.665001,7.2900138,5.2954545,-.2954545,0
2008,1,160,4,-.49502549,7101.04,457181,73.885368,8.8679962,5.2954545,-1.2954545,0
2018,1,160,4,-.14659999,7252.4019,1552160,75.890244,8.8890877,5.2954545,-1.2954545,0
2008,0,163,6,1.606087,40007.469,1071200,80.790245,10.596822,5.2954545,.7045455,0
2018,0,163,6,1.843841,66188.781,1493600,83.146339,11.100266,5.2954545,.7045455,0
2008,1,166,1,1.0089819,27483.338,425294,78.765854,10.221335,5.2954545,-4.2954545,0
2018,1,166,1,1.0577919,26115.914,612745,81.378052,10.1703,5.2954545,-4.2954545,0
2008,0,169,3,.072505102,5760.8052,426000,55.360001,8.6588326,5.2954545,-2.2954545,0
2018,0,169,3,-.1027109,6374.0283,1107013,63.856998,8.7599869,5.2954545,-2.2954545,0
2008,1,172,5,-.0118438,2037.3221,101922,75.156998,7.6193914,5.2954545,-.2954545,0
2018,1,172,5,.0260529,4080.5671,1544313,76.811996,8.3139915,5.2954545,-.2954545,0
2008,0,176,6,-1.423214,1304.5331,44625,61.879002,7.1736007,5.2954545,.7045455,0
2018,0,176,7,-1.119575,623.86725,31352,65.095001,6.4359374,5.2954545,1.7045455,0
2008,0,187,7,-.82519871,544.14752,1911,56.178001,6.2992206,5.2954545,1.7045455,0
2018,0,187,5,-.59087712,679.97278,26156,60.759998,6.5220528,5.2954545,-.2954545,0
2008,1,191,5,.0830613,10940.991,5756965,73.649002,9.300272,5.2954545,-.2954545,-1
2018,0,191,5,-.31942061,9455.5938,13407226,77.436996,9.1543617,5.2954545,-.2954545,-1
2008,0,192,10,-1.471751,3904.4636,75,66.030998,8.2698755,5.2954545,4.7045455,0
2018,0,192,10,-1.4519989,6966.6353,5000,68.072998,8.8488874,5.2954545,4.7045455,0
2008,1,196,5,-.6813426,3887.2424,1600000,68.251465,8.2654552,5.2954545,-.2954545,0
2018,1,196,4,-.71774471,3096.8174,5405125,71.58268,8.0381298,5.2954545,-1.2954545,0
2008,1,200,2,.59521848,9091.0791,244531,76.436996,9.1150494,5.2954545,-3.2954545,0
2018,1,200,2,.59451938,17277.971,977390,77.769997,9.7571878,5.2954545,-3.2954545,0
2008,0,202,7,-1.1660351,1082.286,65960,69.193001,6.9868307,5.2954545,1.7045455,0
2018,0,202,9,-1.0734299,1529.0829,4123508,71.572998,7.3324232,5.2954545,3.7045455,0
2008,0,207,6,-.40800089,1394.0006,5703,52.605999,7.239933,5.2954545,.7045455,1
2018,1,207,6,-.34504959,1516.3906,72228,63.509998,7.3240881,5.2954545,.7045455,1
2008,0,208,6,-1.781623,356.69336,18000,46.504002,5.8768764,5.2954545,.7045455,0
2018,0,208,6,-1.273343,1683.7406,203056,61.195,7.4287729,5.2954545,.7045455,0
